,GDP_RUB,GDP_INDEX,INVEST_RUB,INVEST_INDEX,RETAIL_SALES,GOV_EXP_CONS_ACCUM,GOV_INC_CONS_ACCUM,CPI,WAGE
1999-12-31,4823.0,106.4,670.4,105.3,1797.4,1258.0,,,1523.0
2000-12-31,7306.0,110.0,1165.2,117.4,2352.3,1960.1,,,2223.0
2001-12-31,8944.0,105.1,1504.7,111.7,3070.0,2419.4,,118.6,3240.0
2002-12-31,10831.0,104.7,1762.4,102.9,3765.4,3422.3,,115.1,4360.0
2003-12-31,13208.0,107.3,2186.4,112.7,4529.7,3964.9,,112.0,5499.0
2004-12-31,17027.0,107.2,2865.0,116.8,5642.5,4669.7,,111.7,6740.0
2005-12-31,21610.0,106.4,3611.1,110.2,7041.5,6820.6,,110.9,8555.0
2006-12-31,26917.0,108.2,4730.0,117.8,8711.9,8375.2,,109.0,10634.0
2007-12-31,33248.0,108.5,6716.2,123.8,10869.0,11378.6,,111.9,13593.0
2008-12-31,41277.0,105.2,8781.6,109.5,13944.2,14157.0,,113.3,17290.0
2009-12-31,38807.0,92.2,7976.0,86.5,14599.2,16048.3,,108.8,18638.0
2010-12-31,46308.0,104.5,9152.1,106.3,16512.0,17616.7,,108.8,20952.0
2011-12-31,60283.0,104.3,11035.7,110.8,19104.3,19994.6,,106.1,23369.0
2012-12-31,68164.0,103.7,12586.1,106.8,21394.5,23174.7,,106.6,26629.0
2013-12-31,73134.0,101.8,13450.3,100.8,23685.9,25290.9,,106.5,29792.0
2014-12-31,79058.0,100.7,13902.6,98.5,26356.2,27611.7,,111.4,32495.0
2015-12-31,83094.0,97.7,13897.2,89.9,27526.8,29741.5,,112.9,34030.0
2016-12-31,86014.0,100.3,14748.9,99.8,28240.9,31323.7,,105.4,36709.0
2017-12-31,92101.0,101.6,16027.3,104.8,29745.499999999996,32395.7,,102.5,39167.0
2018-12-31,103876.0,102.3,17595.0,104.3,31579.4,34284.7089227085,,104.3,43724.0
