,GDP_RUB,GDP_INDEX,INVEST_RUB,INVEST_INDEX,CPI,WAGE
1999-03-31,901.0,98.1,96.8,55.5,,1248.0
1999-06-30,1102.0,103.1,131.1,137.2,,1511.0
1999-09-30,1373.0,111.4,185.6,120.6,,1642.0
1999-12-31,1447.0,112.0,256.9,124.0,,1927.0
2000-03-31,1527.0,111.4,165.8,51.9,,1899.0
2000-06-30,1697.0,110.2,236.0,139.9,,2148.0
2000-09-30,2038.0,110.5,330.2,123.9,,2336.0
2000-12-31,2044.0,108.2,433.2,127.2,,2652.0
2001-03-31,1901.0,104.7,230.3,49.6,107.1,2781.0
2001-06-30,2105.0,105.0,318.8,151.4,105.3,3082.0
2001-09-30,2488.0,106.0,421.1,122.1,101.1,3393.0
2001-12-31,2450.0,104.5,534.5,131.8,104.1,3872.0
2002-03-31,2262.0,103.8,270.1,49.4,105.4,3836.0
2002-06-30,2529.0,104.4,376.4,152.6,103.4,4257.0
2002-09-30,3013.0,104.4,494.5,117.7,101.2,4547.0
2002-12-31,3027.0,106.2,621.4,144.9,104.3,5018.0
2003-03-31,2851.0,107.5,330.0,47.4,105.2,4800.0
2003-06-30,3102.0,107.9,470.6,145.4,102.6,5296.0
2003-09-30,3600.0,106.1,607.5,112.4,100.6,5549.0
2003-12-31,3655.0,107.6,778.3,127.4,103.1,6401.0
2004-03-31,3516.0,107.2,442.2,39.4,103.5,6173.0
2004-06-30,3972.0,108.0,626.3,140.3,102.5,6650.0
2004-09-30,4594.0,107.3,783.3,116.9,101.8,6930.0
2004-12-31,4945.0,106.2,1013.2,140.5,103.4,7582.0
2005-03-31,4459.0,105.6,540.5,41.3,105.3,7638.0
2005-06-30,5078.0,106.0,776.3,155.6,102.6,8234.0
2005-09-30,5845.0,106.0,993.6,116.6,100.6,8674.0
2005-12-31,6228.0,107.8,1300.7,148.2,102.1,9651.0
2006-03-31,5793.0,107.3,658.4,38.7,105.0,9397.0
2006-06-30,6368.0,108.1,1017.6,161.0,101.1,10401.0
2006-09-30,7276.0,108.2,1287.3,120.6,101.0,10949.0
2006-12-31,7480.0,108.9,1766.7,153.0,101.7,12203.0
2007-03-31,6780.0,108.1,897.6,38.3,103.4,11876.0
2007-06-30,7768.0,108.6,1414.4,156.3,102.2,12993.0
2007-09-30,8903.0,108.2,1744.1,115.1,101.8,13494.0
2007-12-31,9797.0,109.2,2660.1,149.7,104.1,15742.0
2008-03-31,8878.0,109.2,1314.6,38.1,104.8,15424.0
2008-06-30,10238.0,107.9,1991.5,152.8,103.8,16962.0
2008-09-30,11542.0,106.4,2369.0,114.4,101.7,17556.0
2008-12-31,10619.0,98.7,3106.5,151.9,102.5,18966.0
2009-03-31,8335.0,90.8,1224.3,36.5,105.4,17441.0
2009-06-30,9245.0,88.8,1722.1,158.0,101.9,18419.0
2009-09-30,10411.0,91.4,2061.0,113.9,100.6,18673.0
2009-12-31,10816.0,97.4,2968.6,148.1,100.7,20670.0
2010-03-31,9996.0,104.1,1242.9,34.8,103.2,19485.0
2010-06-30,10977.0,105.0,1962.5,150.7,101.2,20809.0
2010-09-30,12086.0,103.8,2361.5,111.0,101.8,21031.0
2010-12-31,13249.0,105.1,3585.2,155.8,102.4,23491.0
2011-03-31,13029.0,103.3,1422.0,36.0,103.8,21354.0
2011-06-30,14481.0,103.3,2306.0,151.9,101.1,23154.0
2011-09-30,15806.0,105.0,2854.1,114.5,99.7,23352.0
2011-12-31,16967.0,105.2,4453.6,164.6,101.4,26905.0
2012-03-31,15183.0,105.4,1730.1,37.1,101.5,24407.0
2012-06-30,16472.0,104.4,2730.5,150.8,101.7,26547.0
2012-09-30,17734.0,103.3,3225.0,113.5,101.9,26127.0
2012-12-31,18775.0,101.9,4900.5,163.5,101.4,30233.0
2013-03-31,16375.0,101.3,1905.4,37.1,101.9,27339.0
2013-06-30,17539.0,101.7,2918.7,152.0,101.6,30245.0
2013-09-30,19058.0,101.6,3402.9,115.4,101.2,29578.0
2013-12-31,20162.0,102.5,5223.3,158.1,101.7,33269.0
2014-03-31,17302.0,100.5,1884.1,36.2,102.3,30057.0
2014-06-30,19052.0,101.3,2985.0,151.9,102.4,32963.0
2014-09-30,20542.0,100.9,3493.2,,101.4,31730.0
2014-12-31,22163.0,100.3,5540.3,,104.8,35685.0
2015-03-31,18455.0,98.2,1960.7,,107.4,31566.0
2015-06-30,19760.0,96.5,2977.6,,101.0,34703.0
2015-09-30,21815.0,98.0,3428.7,,101.7,32983.0
2015-12-31,23065.0,98.1,5530.2,,102.3,36692.0
2016-03-31,18950.0,99.6,2047.3,,102.1,34000.0
2016-06-30,20558.0,100.3,3103.3,,101.2,37404.0
2016-09-30,22340.0,100.3,3615.9,,100.7,35744.0
2016-12-31,24166.0,101.0,5982.4,,101.3,39824.0
2017-03-31,20644.0,101.5,2243.7,,101.0,35983.0
2017-06-30,21972.0,102.5,3392.8,,101.3,40103.0
2017-09-30,23796.0,102.3,3934.5,,99.4,37723.0
2017-12-31,25690.0,100.3,6456.3,,100.8,42797.0
2018-03-31,22438.0,101.9,2396.2,,100.8,40691.0
2018-06-30,24824.0,102.2,3722.6,,101.3,44477.0
2018-09-30,27127.0,102.2,4396.8,,100.4,41830.0
2018-12-31,29487.0,102.7,7079.4,,101.7,46850.0
2019-03-31,24487.0,100.5,2635.1,,101.8,43944.0
2019-06-30,,100.9,4060.8,,100.7,48453.0
